# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Group defaultgrp	Mona,Big_Springs,Jail_Pond,Tooele_Army
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
837	un	275909	0.00519	-1.00000	0.00111	-1.00000	-nan	-1.00000
847	un	280340	0.01231	-1.00000	0.00098	-1.00000	0.49303	-1.00000
850	un	281927	0.15706	-1.00000	0.02593	-1.00000	0.57416	-1.00000
851	un	282738	-0.04599	-1.00000	-0.03497	-1.00000	-0.03900	-1.00000
864	un	284386	0.01796	-1.00000	0.00319	-1.00000	-0.00535	-1.00000
869	un	287335	0.07926	-1.00000	0.03157	-1.00000	0.53101	-1.00000
874	un	288989	-0.03323	-1.00000	-0.00696	-1.00000	0.51639	-1.00000
878	un	290646	0.02963	-1.00000	0.00356	-1.00000	0.48654	-1.00000
879	un	291476	0.02081	-1.00000	0.00166	-1.00000	0.00391	-1.00000
881	un	292363	-0.02160	-1.00000	-0.00418	-1.00000	-0.01201	-1.00000
893	un	296352	-0.01672	-1.00000	-0.00808	-1.00000	0.53637	-1.00000
917	un	302670	-0.03749	-1.00000	-0.02594	-1.00000	0.54241	-1.00000
925	un	305929	-0.02200	-1.00000	-0.01707	-1.00000	-0.02947	-1.00000
927	un	306705	-0.06802	-1.00000	-0.04426	-1.00000	-nan	-1.00000
930	un	307594	-0.03725	-1.00000	-0.00487	-1.00000	-0.01038	-1.00000
956	un	317103	-0.03716	-1.00000	-0.02921	-1.00000	0.52205	-1.00000
964	un	320214	-0.07222	-1.00000	-0.07396	-1.00000	-nan	-1.00000
971	un	321718	0.04008	-1.00000	0.00888	-1.00000	-nan	-1.00000
976	un	322486	0.00297	-1.00000	0.00069	-1.00000	0.00809	-1.00000
